Main Series, Sub Series, Segmented Mnemonic, Title, Reporting Forms, Source, MainSeriesLink, SubSeriesLink, SegmentLink
"AAXX","None","None","Risk-Based Capital Reporting for Institutions Subject to the Advanced Capital Adequacy Framework","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None","None"
"None","AAAB","None","ADVANCED RISK-BASED CAPITAL Part 1:  Risk-Based Capital Numerator and Ratios for Banks and Bank Holding Companies","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AAAA","Regulatory Capital - Advanced Approaches","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","AAAT","None","ADVANCED RISK-BASED CAPITAL  Part 2:  Risk-Based Capital Numerator and Ratios for Savings Associations","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","AABX","None","Summary Risk-Weighted Asset Information for Banks Approved to Use Advanced Internal Ratings-Based and Advanced Measurement Approaches for Regulatory Capital Purposes","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF","None"
"None","None","AABA","Summary Non-Defaulted and Defaulted Exposures; Weighted Average Probability of Default (PCT)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AABB","Summary Non-Defaulted and Defaulted Exposures; Balance Sheet Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AABC","Summary Non-Defaulted and Defaulted Exposures; Total Undrawn Amount","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AABD","Summary Non-Defaulted and Defaulted Exposures; Exposure at Default","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
"None","None","AABE","Summary Non-Defaulted and Defaulted Exposures; Weighted Average Maturity (Years)","FFIEC 101","https://www.federalreserve.gov/apps/mdrm/series","None","None","https://www.federalreserve.gov/apps/mdrm/pdf/AAXX.PDF"
